Index,SongName,Artist,Genre,ID,Length,Explicit,PercentRating
120,(Theme from) My Three Sons,Lawrence Welk And His Orchestra,"[]",4fNOGDefPWPJsze4D66t6p,122600,FALSE,7
121,(Theme From) Valley Of The Dolls,Dionne Warwick,"['adult standards', 'brill building pop', 'disco', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']",021O8Fvrww2EJB8220tgXo,218840,FALSE,36
122,(There Was A) Tall Oak Tree,Dorsey Burnette,"['traditional rockabilly']",5lgNRKqoMZIfjL4waBliDu,125946,FALSE,2
123,(There's Gotta Be) More To Life,Stacie Orrico,"['candy pop', 'dance pop', 'europop']",2x5qF66rFO6DERBMNkQAqn,200386,FALSE,56
124,(There's No Place Like) Home For The Holidays,Perry Como,"['adult standards', 'brill building pop', 'easy listening', 'vocal jazz']",5mKxNjNnRFpO9Muzw3Ug0u,171333,FALSE,66
125,(There's) Always Something There To Remind Me,Dionne Warwick,"['adult standards', 'brill building pop', 'disco', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']",2wc9DHQnBTnMKDIYcXFzoq,179506,FALSE,40
126,(There's) Always Something There To Remind Me,Lou Johnson,"['northern soul']",1zc9G4b4zbRptS59Lg8VZu,193973,FALSE,25
127,(There's) Always Something There To Remind Me,Sandie Shaw,"['brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop', 'merseybeat', 'rock-and-roll']",3ahiI70MSf3ESUHqKpMtyc,166133,FALSE,49
128,(There's) No Gettin' Over Me,Ronnie Milsap,"['classic country pop', 'country', 'country rock', 'nashville sound']",2bRnP6FjtlASGsDtcgRVuI,199680,FALSE,51
129,(They Long To Be) Close To You,Carpenters,"['adult standards', 'brill building pop', 'mellow gold', 'soft rock']",50q2aUjWoTn6CJIfSPRJQA,276000,FALSE,61
130,(They Long To Be) Close To You,Jerry Butler & Brenda Lee Eager,"['beach music', 'chicago soul', 'classic soul', 'motown', 'philly soul', 'quiet storm', 'rhythm and blues', 'soul']",2vE5u8H9urlvYNqWV3ENyw,251906,FALSE,12
131,(Today I Met) The Boy I'm Gonna Marry,Darlene Love,"['adult standards', 'brill building pop', 'motown']",4i5uj1EfjkWmCxpp58K7oE,166053,FALSE,50
132,(Want You) Back In My Life Again,Carpenters,"['adult standards', 'brill building pop', 'mellow gold', 'soft rock']",3dIBiWACV8dHz7HYn3fi7V,220506,FALSE,33
133,(We Ain't Got) Nothin' Yet,Blues Magoos,"['bubblegum pop', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']",6cQdZhnwKIeLud5qTD7BuQ,135746,FALSE,37
134,(We'll Be) United,The Intruders,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul']",1ldikvb9oHHtGUTaZz9XW2,171133,FALSE,28
135,(We've Got) Honey Love,Martha Reeves & The Vandellas,"['adult standards', 'brill building pop', 'classic girl group', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul']",2Gj1vc5Z4cX673brTMDe8W,149133,FALSE,10
136,(Welcome) New Lovers,Pat Boone,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']",657T90Nnp6WpwhZ8oyBCiU,135735,FALSE,4
137,(What A Sad Way) To Love Someone,Ral Donner,"[]",2cC2EUQRiQEQPuqpBWTUr5,179957,FALSE,2
138,(what) In The Name Of Love,Naked Eyes,"['dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",1Y1f545iaGofOJo4qya2e5,267066,FALSE,31
139,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,"['dance pop', 'dancehall', 'pop', 'pop rap']",6k8uthjEbttfWXcGaNTQGD,243880,FALSE,47
140,(Where Do I Begin) Love Story,Andy Williams,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold']",45FLu3nL1iMYXYPzhqLdko,189066,FALSE,57
141,(Wish I Could Fly Like) Superman,The Kinks,"['album rock', 'art rock', 'british invasion', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock', 'roots rock']",4uDnx2eQm8V9Fnj0L0k8bb,214733,FALSE,42
142,(You Can Still) Rock In America,Night Ranger,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'rock', 'soft rock']",1anccAjNKZNKlTbHGheeCA,255160,FALSE,47
143,(You Can't Let The Boy Overpower) The Man In You,Chuck Jackson,"['classic soul', 'motown', 'northern soul', 'rhythm and blues', 'southern soul']",1kkyUSwuSCkM8nnbqBdtEf,186146,FALSE,12
144,(You Can't Let The Boy Overpower) The Man In You,The Miracles,"['adult standards', 'brill building pop', 'classic soul', 'funk', 'motown', 'quiet storm', 'rock-and-roll', 'soul', 'southern soul']",5pQdkHkwQfLMkUE5UaTN2A,175893,FALSE,20
145,(You Don't Have To) Paint Me A Picture,Gary Lewis And The Playboys,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'folk rock', 'merseybeat', 'rock-and-roll']",7oXi9ywYiQZNVjikAaF7Ul,136440,FALSE,9
146,(You Don't Know) How Glad I Am,Nancy Wilson,"['adult standards', 'cool jazz', 'jazz', 'lounge', 'soul', 'vocal jazz']",4YkN3JlceD5n2aMqL1kFnH,157386,FALSE,59
